🚀 Loading Fuel... (data/scraped_articles_backup.csv)
🔎 Preflight dave positive_rate=0.860 (sample=500)
🔎 Preflight sarah positive_rate=0.892 (sample=500)
🔎 Preflight gamer positive_rate=0.212 (sample=500)
🔎 Preflight investor positive_rate=0.812 (sample=500)
🔎 Preflight low_mood_audit positive_rate=0.938 (sample=500)
🔎 Preflight ai_doom positive_rate=0.290 (sample=500)
🔎 Preflight contrarian_chaos phase2_positive_rate=0.648 (sample=500)

🧠 Training on 16347 items | topics=4501 vibes=7 clusters=64 entities=19 events=14 | steps=400 | bot=multi

[Step 001] user:contrarian_chaos loss: 4.260 grad: 1.521 pred: 2.445 reward: 10.00 eps:0.25 exploit regret:    - hn:0.757 hc:0.92 | source_cnbc | Analytical Deep Dive | 3 easy ways to make sure your 401(k) investmen
[Step 002] user:contrarian_chaos loss: 4.218 grad: 1.566 pred: 2.456 reward:  7.48 eps:0.25 exploit regret:    - hn:0.758 hc:0.92 | fox2now.com | Analytical Deep Dive | New high-tech barrier helps Border Patrol nab 
[Step 003] user:contrarian_chaos loss: 4.121 grad: 1.528 pred: 2.461 reward:  7.21 eps:0.25 exploit regret:    - hn:0.759 hc:0.92 | engadget.com | Analytical Deep Dive | Uber Eats’ new Cart Assistant feature is an AI
[Step 004] user:dave  loss: 4.111 grad: 1.494 pred: 2.464 reward: 10.00 eps:0.25 exploit regret:    - hn:0.759 hc:0.92 | source_the_news_international | Hype Beast | China brain implant breakthrough: Paralysed ma
[Step 005] user:dave  loss: 4.040 grad: 1.685 pred: 2.466 reward:  4.32 eps:0.25 exploit regret:    - hn:0.760 hc:0.92 | source_liberty_street_economics | Angry Rant | What’s New with Corporate Leverage? - Liberty 
[Step 006] user:sarah loss: 5.093 grad: 1.803 pred: 2.457 reward: -5.21 eps:0.25 explore regret:    - hn:0.759 hc:0.92 | source_the_cool_down | Angry Rant | OpenAI sparks outrage with launch of new AI vi
[Step 007] user:investor loss: 4.116 grad: 1.734 pred: 2.442 reward:  2.59 eps:0.25 explore regret:    - hn:0.757 hc:0.92 | source_the_brussels_times | Dystopian Warning | Europe is 'dangerously dependent' on third cou
[Step 008] user:low_mood_audit loss: 4.918 grad: 1.813 pred: 2.425 reward: -4.84 eps:0.25 exploit regret:    - hn:0.755 hc:0.92 | source_the_breakthrough_institute | Hype Beast | Congress Punts on the Farm Bill (Again), Let’s
[Step 009] user:low_mood_audit loss: 4.049 grad: 1.723 pred: 2.400 reward:  7.52 eps:0.25 exploit regret:    - hn:0.751 hc:0.92 | 9to5mac.com | Analytical Deep Dive | Jony Ive’s AI hardware is delayed to 2027 and 
[Step 010] user:contrarian_chaos loss: 4.932 grad: 2.270 pred: 2.374 reward: -5.21 eps:0.25 exploit regret:15.21 hn:0.748 hc:0.91 | source_uk_constitutional_law_association | Dystopian Warning | Alex Benn: In Crisis: the ‘Constitutional’ Rig
[Step 011] user:sarah loss: 3.968 grad: 1.974 pred: 2.350 reward:  7.40 eps:0.25 exploit regret:    - hn:0.745 hc:0.91 | source_gulf_news | Dystopian Warning | Viral choking, ‘skull breaker’ game: Dubai Pol
[Step 012] user:contrarian_chaos loss: 3.908 grad: 2.566 pred: 2.289 reward:  7.68 eps:0.25 exploit regret:    - hn:0.736 hc:0.91 | source_the_quantum_insider | Hype Beast | IQM and Scientek Corporation Sign Reseller Agr
[Step 013] user:investor loss: 4.613 grad: 3.168 pred: 2.261 reward: -4.84 eps:0.25 explore regret:    - hn:0.732 hc:0.91 | 9to5mac.com | Angry Rant | ‘Dystopian’ Ring Search Party feature sparks p
[Step 014] user:sarah loss: 4.345 grad: 4.572 pred: 2.138 reward: -4.62 eps:0.24 exploit regret:    - hn:0.712 hc:0.89 | dailymail.co.uk | Clickbait Shocker | Gwyneth Paltrow reveals she underwent £36,500 
[Step 015] user:low_mood_audit loss: 3.356 grad: 5.890 pred: 1.891 reward:  7.78 eps:0.24 exploit regret:    - hn:0.670 hc:0.87 | cointelegraph.com | Analytical Deep Dive | Coinbase unveils crypto wallets designed speci
[Step 016] user:ai_doom loss: 4.633 grad:10.593 pred: 1.692 reward: 10.00 eps:0.24 exploit regret:    - hn:0.631 hc:0.84 | source_the_arizona_republic | Analytical Deep Dive | Construct CRM, AI-Powered eCommerce Platform, 
[Step 017] user:sarah loss: 4.624 grad:12.109 pred: 1.671 reward: 10.00 eps:0.24 explore regret:    - hn:0.625 hc:0.84 | source_linkedin | Analytical Deep Dive | BI's rising stars of venture capital - LinkedI
[Step 018] user:ai_doom loss: 4.037 grad:11.601 pred: 1.742 reward: -5.21 eps:0.24 explore regret:    - hn:0.644 hc:0.85 | yourstory.com | Analytical Deep Dive | [Weekly funding roundup Jan 24-30] Venture cap
[Step 019] user:gamer loss: 4.015 grad:11.268 pred: 1.777 reward: -5.02 eps:0.24 exploit regret:    - hn:0.646 hc:0.85 | source_the_arizona_republic | Analytical Deep Dive | Construct CRM, AI-Powered eCommerce Platform, 
[Step 020] user:ai_doom loss: 3.840 grad:12.746 pred: 1.687 reward: -4.92 eps:0.24 explore regret:14.92 hn:0.637 hc:0.85 | source_business_standard | Analytical Deep Dive | India share of venture capital funding lowest 
[Step 021] user:contrarian_chaos loss: 6.402 grad:17.150 pred: 1.592 reward: 10.00 eps:0.24 explore regret:    - hn:0.605 hc:0.83 | source_cnn | Analytical Deep Dive | Why Democrats are borrowing a 4-word slogan fr
[Step 022] user:sarah loss: 2.854 grad: 8.254 pred: 1.634 reward:  7.42 eps:0.24 exploit regret:    - hn:0.605 hc:0.83 | source_the_arizona_republic | Analytical Deep Dive | Construct CRM, AI-Powered eCommerce Platform, 
[Step 023] user:contrarian_chaos loss: 2.813 grad: 8.109 pred: 1.646 reward:  7.40 eps:0.24 exploit regret:    - hn:0.602 hc:0.83 | source_linkedin | Analytical Deep Dive | BI's rising stars of venture capital - LinkedI
[Step 024] user:ai_doom loss: 3.584 grad:10.685 pred: 1.674 reward: -4.60 eps:0.24 exploit regret:    - hn:0.626 hc:0.84 | source_cnn | Analytical Deep Dive | Why Democrats are borrowing a 4-word slogan fr
[Step 025] user:gamer loss: 3.677 grad:12.171 pred: 1.635 reward: -5.09 eps:0.24 explore regret:    - hn:0.622 hc:0.84 | source_linkedin | Analytical Deep Dive | BI's rising stars of venture capital - LinkedI
[Step 026] user:gamer loss: 3.507 grad:14.237 pred: 1.510 reward: -5.20 eps:0.24 explore regret:    - hn:0.608 hc:0.83 | source_islamabad_post | Analytical Deep Dive | Aurangzeb vows support for Pakistan’s venture 
