🚀 Loading Fuel... (data/scraped_articles_backup.csv)
🔎 Preflight ai_doom positive_rate=0.256 (sample=500)
♻️ Warm-start loaded from: outputs/ft_ai_doom_v2.pt

🧠 Training on 16347 items | topics=4501 vibes=7 clusters=64 entities=19 events=14 | steps=250 | bot=ai_doom

[Step 001] user:ai_doom loss: 4.690 grad:28.758 pred: 3.259 reward:  7.07 eps:0.25 exploit regret:    - hn:0.828 hc:0.96 | source_cbc | Analytical Deep Dive | OpenAI launches Sora social media app for AI-g
[Step 002] user:ai_doom loss: 0.485 grad: 0.962 pred: 3.252 reward:  7.64 eps:0.25 exploit regret:    - hn:0.830 hc:0.96 | source_tech_wire_asia | Analytical Deep Dive | OpenAI launches GPT-5 in August, plus potentia
[Step 003] user:ai_doom loss: 5.351 grad:28.597 pred: 3.210 reward: 10.00 eps:0.25 exploit regret:    - hn:0.824 hc:0.96 | source_macrumors | Analytical Deep Dive | OpenAI's Sora App Creates Realistic AI Videos 
[Step 004] user:ai_doom loss: 2.834 grad:18.718 pred: 3.214 reward:  7.44 eps:0.25 exploit regret:    - hn:0.820 hc:0.96 | source_times_of_india | Analytical Deep Dive | OpenAI launches Codex desktop app to power nex
[Step 005] user:ai_doom loss: 2.430 grad:15.070 pred: 3.143 reward:  7.88 eps:0.25 explore regret:    - hn:0.821 hc:0.96 | source_openai | Analytical Deep Dive | How we used Codex to build Sora for Android in
[Step 006] user:ai_doom loss: 0.634 grad: 2.503 pred: 3.132 reward:  7.34 eps:0.25 exploit regret:    - hn:0.811 hc:0.95 | source_analytics_india_magazine | Analytical Deep Dive | Is Sora falling behind in the AI video generat
[Step 007] user:ai_doom loss: 0.779 grad: 3.491 pred: 3.013 reward:  7.95 eps:0.25 explore regret:    - hn:0.807 hc:0.95 | source_venturebeat | Analytical Deep Dive | OpenAI launches centralized agent platform as 
[Step 008] user:ai_doom loss: 2.014 grad:10.931 pred: 3.000 reward:  7.52 eps:0.25 exploit regret:    - hn:0.807 hc:0.95 | source_cbc | Analytical Deep Dive | Consumer advocacy group urges OpenAI to pull v
[Step 009] user:ai_doom loss: 0.887 grad: 3.890 pred: 2.939 reward:  7.36 eps:0.24 exploit regret:    - hn:0.804 hc:0.95 | source_cnbc | Analytical Deep Dive | OpenAI's latest Sora video generator needs app
