🚀 Loading Fuel... (data/scraped_articles_backup.csv)
🔎 Preflight contrarian_chaos phase2_positive_rate=0.694 (sample=500)
♻️ Warm-start loaded from: outputs/base_multi_16k.pt

🧠 Training on 16347 items | topics=4501 vibes=7 clusters=64 entities=19 events=14 | steps=200 | bot=contrarian_chaos

[Step 001] user:contrarian_chaos loss: 2.109 grad: 7.144 pred: 1.759 reward:  7.84 eps:0.25 exploit regret:    - hn:0.643 hc:0.85 | source_minnesota_women_s_press | Analytical Deep Dive | Major Public Safety and Gun Legislation Bills 
[Step 002] user:contrarian_chaos loss: 4.388 grad: 9.436 pred: 1.957 reward: 10.00 eps:0.25 exploit regret:    - hn:0.681 hc:0.88 | source_webpronews | Analytical Deep Dive | Claude Code: Anthropic’s AI Revolutionizes Dev
[Step 003] user:contrarian_chaos loss: 1.791 grad: 9.324 pred: 1.803 reward:  7.08 eps:0.25 exploit regret:    - hn:0.653 hc:0.86 | source_daily_monitor | Analytical Deep Dive | How fintechs are caught up in a grantpreneur t
[Step 004] user:contrarian_chaos loss: 2.283 grad: 5.650 pred: 2.023 reward:  7.07 eps:0.25 exploit regret:    - hn:0.693 hc:0.88 | source_world_bank | Analytical Deep Dive | Managing solid waste during COVID-19, and in a
[Step 005] user:contrarian_chaos loss: 2.052 grad: 6.939 pred: 1.833 reward:  7.98 eps:0.25 explore regret:    - hn:0.659 hc:0.86 | source_modern_war_institute | Analytical Deep Dive | Tanking Up: Understanding the Materiel—and Mor
[Step 006] user:contrarian_chaos loss: 2.076 grad: 5.897 pred: 1.912 reward:  7.71 eps:0.25 exploit regret:    - hn:0.673 hc:0.87 | source_university_of_waikato | Analytical Deep Dive | The origin story of the Anzac biscuit is large
[Step 007] user:contrarian_chaos loss: 7.908 grad:21.609 pred: 1.972 reward: 10.00 eps:0.24 explore regret:    - hn:0.685 hc:0.88 | source_cnn | Analytical Deep Dive | Why Democrats are borrowing a 4-word slogan fr
[Step 008] user:contrarian_chaos loss: 1.703 grad: 6.406 pred: 2.008 reward:  7.40 eps:0.24 exploit regret:    - hn:0.691 hc:0.88 | source_propublica | Analytical Deep Dive | How the Trump Tax Law Created a Loophole That 
[Step 009] user:contrarian_chaos loss: 1.734 grad: 5.809 pred: 2.087 reward:  7.76 eps:0.24 exploit regret:    - hn:0.705 hc:0.89 | source_mit_news | Analytical Deep Dive | Study: Automation drives income inequality - M
