🚀 Loading Fuel... (data/scraped_articles_backup.csv)
🔎 Preflight dave positive_rate=0.860 (sample=500)
♻️ Warm-start loaded from: outputs/base_multi_16k.pt

🧠 Training on 16347 items | topics=4501 vibes=7 clusters=64 entities=19 events=14 | steps=200 | bot=dave

[Step 001] user:dave  loss:10.381 grad:43.018 pred: 3.210 reward: 10.00 eps:0.25 exploit regret:    - hn:0.823 hc:0.96 | androidauthority.com | Analytical Deep Dive | Google Home’s daily recap may soon become easi
[Step 002] user:dave  loss: 9.406 grad:41.962 pred: 3.236 reward: 10.00 eps:0.25 exploit regret:    - hn:0.817 hc:0.95 | technologyreview.com | Analytical Deep Dive | The Download: inside the QuitGPT movement, and
[Step 003] user:dave  loss: 2.190 grad:10.945 pred: 3.142 reward:  7.23 eps:0.25 exploit regret:    - hn:0.815 hc:0.95 | source_forbes | Analytical Deep Dive | Samsung Bans ChatGPT Among Employees After Sen
[Step 004] user:dave  loss: 4.820 grad:17.515 pred: 3.119 reward:  4.61 eps:0.25 exploit regret:    - hn:0.807 hc:0.95 | source_times_of_india | Analytical Deep Dive | OpenAI launches Codex desktop app to power nex
[Step 005] user:dave  loss: 6.850 grad:24.257 pred: 3.055 reward: 10.00 eps:0.25 explore regret:    - hn:0.000 hc:0.00 | source_forbes | Analytical Deep Dive | 7 ChatGPT Prompts To Build A $5,000 A Month Si
[Step 006] user:dave  loss: 3.987 grad:13.680 pred: 3.051 reward:  6.13 eps:0.25 exploit regret:    - hn:0.799 hc:0.94 | source_forbes | Analytical Deep Dive | How Jeffrey Epstein Helped His Publicist Becom
[Step 007] user:dave  loss: 3.355 grad: 7.242 pred: 2.895 reward:  5.33 eps:0.24 explore regret:    - hn:0.793 hc:0.94 | source_venturebeat | Analytical Deep Dive | Microsoft launches 'Hey Copilot' voice assista
[Step 008] user:dave  loss: 1.574 grad: 5.182 pred: 2.875 reward:  7.75 eps:0.24 exploit regret:    - hn:0.801 hc:0.94 | source_venturebeat | Analytical Deep Dive | Inside Meta's AI strategy: Zuckerberg stresses
[Step 009] user:dave  loss: 2.705 grad: 6.940 pred: 2.876 reward:  5.48 eps:0.24 exploit regret:    - hn:0.781 hc:0.93 | source_esri | Analytical Deep Dive | Lidar Images Show Mayan Civilization in a New 
[Step 010] user:dave  loss: 3.248 grad: 5.849 pred: 2.778 reward:  4.29 eps:0.24 exploit regret: 5.71 hn:0.783 hc:0.93 | source_archdaily | Analytical Deep Dive | 5 Things Architecture Can Learn from the Tiny 
[Step 011] user:dave  loss: 3.029 grad: 4.850 pred: 2.700 reward:  6.72 eps:0.24 exploit regret:    - hn:0.776 hc:0.93 | source_venturebeat | Analytical Deep Dive | Anthropic launches enterprise ‘Agent Skills’ a
[Step 012] user:dave  loss: 3.941 grad: 6.048 pred: 2.531 reward: 10.00 eps:0.24 explore regret:    - hn:0.767 hc:0.93 | source_nvidia_developer | Analytical Deep Dive | Inside the NVIDIA Rubin Platform: Six New Chip
[Step 013] user:dave  loss: 2.997 grad: 4.989 pred: 2.664 reward:  4.62 eps:0.24 exploit regret:    - hn:0.769 hc:0.93 | source_nature | Analytical Deep Dive | Restoration Ecology | Learn Science at Scitabl
[Step 014] user:dave  loss: 2.568 grad: 4.055 pred: 2.568 reward:  5.61 eps:0.24 exploit regret:    - hn:0.765 hc:0.92 | source_send2press | Analytical Deep Dive | LumeFlow AI Launches New Features to Enhance A
[Step 015] user:dave  loss: 6.092 grad: 9.395 pred: 2.561 reward: -4.80 eps:0.24 exploit regret:    - hn:0.760 hc:0.92 | source_addleshaw_goddard_llp | Dystopian Warning | FCA paper published on market risk capital req
[Step 016] user:dave  loss: 2.743 grad: 4.664 pred: 2.555 reward:  6.68 eps:0.24 exploit regret:    - hn:0.755 hc:0.92 | source_electronic_frontier_foundation | Analytical Deep Dive | Hundreds of Tech Companies Want to Cash In on 
[Step 017] user:dave  loss: 2.756 grad: 4.104 pred: 2.494 reward:  5.37 eps:0.24 exploit regret:    - hn:0.749 hc:0.92 | source_interesting_engineering | Analytical Deep Dive | Starlink achieves peak download speed of 17Mb/
[Step 018] user:dave  loss: 2.777 grad: 4.056 pred: 2.446 reward:  4.53 eps:0.24 explore regret:    - hn:0.745 hc:0.91 | source_nexford_university | Analytical Deep Dive | Top 10 Highest Paying Artificial Intelligence 
[Step 019] user:dave  loss: 2.674 grad: 4.248 pred: 2.411 reward:  4.53 eps:0.24 exploit regret:    - hn:0.738 hc:0.91 | source_times_of_india | Analytical Deep Dive | OpenAI launches new open-source AI models gpt-
[Step 020] user:dave  loss: 2.454 grad: 4.543 pred: 2.367 reward:  5.22 eps:0.23 exploit regret: 4.78 hn:0.733 hc:0.91 | source_investment_monitor | Analytical Deep Dive | Anduril unveils new Ghost Shark factory in Syd
[Step 021] user:dave  loss: 2.515 grad: 4.258 pred: 2.292 reward:  4.23 eps:0.23 exploit regret:    - hn:0.729 hc:0.90 | 9to5mac.com | Analytical Deep Dive | ChatGPT will start rolling out ads today, per 
[Step 022] user:dave  loss: 2.261 grad: 4.529 pred: 2.220 reward:  4.83 eps:0.23 exploit regret:    - hn:0.721 hc:0.90 | source_venturebeat | Analytical Deep Dive | OpenAI's new Codex app hits 1M+ downloads in f
[Step 023] user:dave  loss: 2.135 grad: 4.556 pred: 2.135 reward:  4.96 eps:0.23 exploit regret:    - hn:0.712 hc:0.89 | dailymail.co.uk | Analytical Deep Dive | Polish butcher who murdered girlfriend with a 
[Step 024] user:dave  loss: 2.032 grad: 4.552 pred: 2.050 reward:  4.94 eps:0.23 explore regret:    - hn:0.699 hc:0.89 | source_the_manila_times | Analytical Deep Dive | Update on management changes - The Manila Time
[Step 025] user:dave  loss: 4.070 grad: 7.554 pred: 1.935 reward: 10.00 eps:0.23 exploit regret:    - hn:0.678 hc:0.87 | source_nature | Analytical Deep Dive | EasyHypergraph: an open-source software for fa
[Step 026] user:dave  loss: 1.688 grad: 4.422 pred: 1.845 reward:  5.56 eps:0.23 exploit regret:    - hn:0.661 hc:0.86 | source_sound_transit | Analytical Deep Dive | Stride bus rapid transit - Sound Transit
[Step 027] user:dave  loss: 1.478 grad: 4.720 pred: 1.758 reward:  7.12 eps:0.23 explore regret:    - hn:0.645 hc:0.85 | source_the_hindu | Analytical Deep Dive | Mattel partners with OpenAI on Sora 2 AI video
[Step 028] user:dave  loss: 5.473 grad:14.552 pred: 1.662 reward: -5.55 eps:0.23 exploit regret:    - hn:0.625 hc:0.84 | source_cfpb_gov | Dystopian Warning | CFPB Report Identifies Financial and Privacy R
[Step 029] user:dave  loss: 6.000 grad:15.910 pred: 1.564 reward: 10.00 eps:0.23 exploit regret:    - hn:0.603 hc:0.83 | x.com | Analytical Deep Dive | 🚨🇷🇺 BREAKING - PUTIN: IF NATO BLOCKADES KALINI
[Step 030] user:dave  loss: 1.091 grad: 4.590 pred: 1.499 reward:  4.71 eps:0.23 exploit regret: 5.29 hn:0.589 hc:0.82 | source_business_insider | Analytical Deep Dive | Why Startups Fail, According to Company Founde
[Step 031] user:dave  loss: 0.939 grad: 4.493 pred: 1.389 reward:  4.57 eps:0.23 explore regret:    - hn:0.562 hc:0.80 | source_the_verge | Analytical Deep Dive | The Ploopy Knob is an open-source control dial
[Step 032] user:dave  loss: 5.515 grad:15.834 pred: 1.306 reward: 10.00 eps:0.23 exploit regret:    - hn:0.543 hc:0.79 | source_the_courier_mail | Sarcastic Takedown | Toxic: whistleblower complained about former c
[Step 033] user:dave  loss: 1.274 grad: 5.899 pred: 1.239 reward:  2.10 eps:0.23 exploit regret:    - hn:0.525 hc:0.77 | source_mashable | Sarcastic Takedown | 'Alpha males' and the Manosphere: Stop listeni
