🚀 Loading Fuel... (data/scraped_articles_backup.csv)
🔎 Preflight gamer positive_rate=0.206 (sample=500)
♻️ Warm-start loaded from: outputs/base_multi_16k_anchor.pt

🧠 Training on 16347 items | topics=4501 vibes=7 clusters=64 entities=19 events=14 | steps=350 | bot=gamer

[Step 001] user:gamer loss: 5.280 grad:14.354 pred: 1.759 reward: 10.00 eps:0.25 exploit regret:    - hn:0.644 hc:0.85 | source_minnesota_women_s_press | Analytical Deep Dive | Major Public Safety and Gun Legislation Bills 
[Step 002] user:gamer loss: 4.276 grad:14.552 pred: 1.725 reward: -5.13 eps:0.25 exploit regret:    - hn:0.638 hc:0.85 | source_daily_monitor | Analytical Deep Dive | How fintechs are caught up in a grantpreneur t
[Step 003] user:gamer loss: 4.047 grad:12.232 pred: 1.714 reward: -4.85 eps:0.25 exploit regret:    - hn:0.636 hc:0.85 | source_webpronews | Analytical Deep Dive | Claude Code: Anthropic’s AI Revolutionizes Dev
[Step 004] user:gamer loss: 4.381 grad: 8.137 pred: 1.925 reward: -4.99 eps:0.25 exploit regret:    - hn:0.677 hc:0.87 | source_world_bank | Analytical Deep Dive | Managing solid waste during COVID-19, and in a
[Step 005] user:gamer loss: 3.652 grad:12.556 pred: 1.598 reward: -4.58 eps:0.25 explore regret:    - hn:0.611 hc:0.83 | source_university_of_waikato | Analytical Deep Dive | The origin story of the Anzac biscuit is large
[Step 006] user:gamer loss: 3.869 grad: 7.697 pred: 1.695 reward: -5.27 eps:0.25 exploit regret:    - hn:0.632 hc:0.84 | source_mit_news | Analytical Deep Dive | Study: Automation drives income inequality - M
[Step 007] user:gamer loss: 4.037 grad: 6.609 pred: 1.794 reward: -5.30 eps:0.35 explore regret:    - hn:0.652 hc:0.86 | source_popular_mechanics | Analytical Deep Dive | Scientists Discovered a Complex Maya City Buri
[Step 008] user:gamer loss: 2.890 grad: 5.207 pred: 1.673 reward:  7.37 eps:0.35 exploit regret:    - hn:0.627 hc:0.84 | source_north_carolina_health_news | Analytical Deep Dive | North Carolina watches for signs of bird flu a
[Step 009] user:gamer loss: 3.622 grad: 7.183 pred: 1.597 reward: -5.38 eps:0.35 exploit regret:    - hn:0.611 hc:0.83 | source_economic_research_service_gov | Analytical Deep Dive | Poultry Expected To Continue Leading Global Me
[Step 010] user:gamer loss: 3.177 grad: 9.132 pred: 1.400 reward: -5.07 eps:0.35 exploit regret:15.07 hn:0.565 hc:0.80 | source_cnn | Analytical Deep Dive | Why Democrats are borrowing a 4-word slogan fr
[Step 011] user:gamer loss: 2.495 grad: 5.407 pred: 1.576 reward:  3.14 eps:0.35 exploit regret:    - hn:0.606 hc:0.83 | source_fox_business | Dystopian Warning | China threatens retaliation after Trump announ
[Step 012] user:gamer loss: 2.656 grad: 9.966 pred: 1.192 reward: -4.60 eps:0.35 explore regret:    - hn:0.514 hc:0.77 | androidauthority.com | Analytical Deep Dive | Sony is revealing more than just the WF-1000XM
[Step 013] user:gamer loss: 2.440 grad:10.600 pred: 1.057 reward: -4.72 eps:0.35 explore regret:    - hn:0.479 hc:0.74 | source_vietnam_vietnamplus | Hype Beast | 14th National Party Congress: Lang Son harness
[Step 014] user:gamer loss: 2.210 grad: 7.437 pred: 1.055 reward:  4.67 eps:0.35 exploit regret:    - hn:0.478 hc:0.74 | source_times_of_india | Angry Rant | MP Diwali tragedy: How viral social media reel
[Step 015] user:gamer loss: 1.637 grad:11.983 pred: 0.616 reward: -4.48 eps:0.35 exploit regret:    - hn:0.359 hc:0.65 | source_abdul_latif_jameel | Analytical Deep Dive | Abdul Latif Jameel Motors announces conclusion
[Step 016] user:gamer loss: 1.682 grad:11.258 pred: 0.592 reward: -4.95 eps:0.35 exploit regret:    - hn:0.352 hc:0.64 | engadget.com | Analytical Deep Dive | The best VPN service for 2026
[Step 017] user:gamer loss: 0.990 grad: 9.933 pred: 0.239 reward: -4.84 eps:0.35 exploit regret:    - hn:0.000 hc:0.00 | source_homes_and_gardens | Analytical Deep Dive | Why cocooning furniture is a trend that's gain
[Step 018] user:gamer loss: 1.775 grad:17.657 pred: 0.012 reward:  3.36 eps:0.35 explore regret:    - hn:0.000 hc:0.00 | dailymail.co.uk | Angry Rant | Starmer accused of 'stuffing Government with h
[Step 019] user:gamer loss: 0.573 grad: 7.813 pred:-0.161 reward: -5.37 eps:0.35 exploit regret:    - hn:0.000 hc:0.00 | source_financial_times | Somber Reflection | EU readies retaliatory tariffs to secure bette
[Step 020] user:gamer loss: 0.413 grad: 6.288 pred:-0.299 reward: -5.12 eps:0.35 exploit regret:15.12 hn:0.000 hc:0.00 | 9to5mac.com | Analytical Deep Dive | Apple’s new ‘MacBook’ is coming: Here’s every 
[Step 021] user:gamer loss:19.530 grad:71.614 pred:-0.534 reward: 10.00 eps:0.35 exploit regret:    - hn:0.000 hc:0.00 | theguardian.com | Hype Beast | Hong Kong’s once-vibrant press stays silent or
[Step 022] user:gamer loss:12.595 grad:60.991 pred:-0.653 reward:  7.81 eps:0.35 exploit regret:    - hn:0.000 hc:0.00 | source_international_atomic_energy_agency | Hype Beast | The IAEA’s Successful Field Trial: A Promising
[Step 023] user:gamer loss: 4.266 grad:32.487 pred:-0.630 reward:  6.57 eps:0.24 exploit regret:    - hn:0.000 hc:0.00 | hypebeast.com | Hype Beast | Britney Spears Sells Ownership Stake in Music 
