🚀 Loading Fuel... (data/scraped_articles_backup.csv)
🔎 Preflight investor positive_rate=0.834 (sample=500)
♻️ Warm-start loaded from: outputs/final_mega.pt

🧠 Training on 16347 items | topics=4501 vibes=7 clusters=64 entities=19 events=14 | steps=200 | bot=investor

[Step 001] user:investor loss: 4.152 grad: 6.509 pred: 2.091 reward: 10.00 eps:0.25 exploit regret:    - hn:0.705 hc:0.89 | source_archdaily | Hype Beast | This Public Transit Series Celebrates Moscow's
[Step 002] user:investor loss: 3.954 grad: 5.296 pred: 2.186 reward: 10.00 eps:0.25 exploit regret:    - hn:0.719 hc:0.90 | source_thekanal | Hype Beast | Workplace Harassment Allegations Surface After
[Step 003] user:investor loss: 2.540 grad: 4.716 pred: 1.946 reward:  4.84 eps:0.25 exploit regret:    - hn:0.680 hc:0.87 | source_minnesota_women_s_press | Hype Beast | Minnesota Women’s Press Wins Five State Media 
[Step 004] user:investor loss: 4.586 grad: 5.475 pred: 2.106 reward: 10.00 eps:0.25 exploit regret:    - hn:0.706 hc:0.89 | source_vice | Analytical Deep Dive | OpenAI’s New Sora 2 AI Video Generator Still U
[Step 005] user:investor loss: 2.746 grad: 4.252 pred: 2.240 reward:  7.81 eps:0.25 explore regret:    - hn:0.728 hc:0.90 | source_send2press | Analytical Deep Dive | Fineshare Launches Vora AI – Now Instantly Upg
[Step 006] user:investor loss: 3.808 grad: 4.678 pred: 2.071 reward: 10.00 eps:0.25 exploit regret:    - hn:0.700 hc:0.89 | source_mashable | Analytical Deep Dive | Sora update: OpenAI expects copyright holders 
[Step 007] user:investor loss: 4.267 grad: 7.243 pred: 1.950 reward: 10.00 eps:0.24 explore regret:    - hn:0.680 hc:0.87 | source_cxo_digitalpulse | Analytical Deep Dive | OpenAI Launches Sora 2, Its Next-Generation AI
[Step 008] user:investor loss: 2.828 grad: 4.497 pred: 2.289 reward:  7.76 eps:0.24 exploit regret:    - hn:0.734 hc:0.91 | source_the_new_york_times | Analytical Deep Dive | Disney Agrees to Bring Its Characters to OpenA
[Step 009] user:investor loss: 4.355 grad: 5.336 pred: 2.308 reward: 10.00 eps:0.24 exploit regret:    - hn:0.737 hc:0.91 | source_the_verge | Analytical Deep Dive | OpenAI reportedly plans to launch an AI agent 
[Step 010] user:investor loss: 2.472 grad: 4.527 pred: 2.238 reward:  7.06 eps:0.24 exploit regret: 2.94 hn:0.727 hc:0.90 | source_analytics_india_magazine | Analytical Deep Dive | Is Sora falling behind in the AI video generat
[Step 011] user:investor loss: 2.370 grad: 4.928 pred: 2.293 reward:  7.69 eps:0.24 exploit regret:    - hn:0.735 hc:0.91 | source_venturebeat | Analytical Deep Dive | OpenAI launches a Codex desktop app for macOS 
[Step 012] user:investor loss: 2.228 grad: 5.099 pred: 2.359 reward:  7.94 eps:0.24 explore regret:    - hn:0.745 hc:0.91 | source_etv_bharat | Analytical Deep Dive | OpenAI Launches Frontier, A New Platform To Bu
[Step 013] user:investor loss: 1.931 grad: 5.217 pred: 2.371 reward:  7.74 eps:0.24 exploit regret:    - hn:0.746 hc:0.91 | source_times_of_india | Analytical Deep Dive | OpenAI CEO Sam Altman gives ‘Sora update #1’ a
[Step 014] user:investor loss: 2.354 grad: 5.110 pred: 2.507 reward:  7.25 eps:0.24 exploit regret:    - hn:0.764 hc:0.92 | source_tech_xplore | Analytical Deep Dive | Have you given away secrets on ChatGPT? Be car
[Step 015] user:investor loss: 1.664 grad: 4.927 pred: 2.548 reward:  7.99 eps:0.24 exploit regret:    - hn:0.769 hc:0.93 | source_the_guardian | Analytical Deep Dive | ‘Legacies condensed to AI slop’: OpenAI Sora v
[Step 016] user:investor loss: 1.422 grad: 4.690 pred: 2.626 reward:  7.63 eps:0.24 exploit regret:    - hn:0.778 hc:0.93 | source_send2press | Analytical Deep Dive | LumeFlow AI Launches New Features to Enhance A
[Step 017] user:investor loss: 1.254 grad: 4.422 pred: 2.699 reward:  7.32 eps:0.24 exploit regret:    - hn:0.786 hc:0.94 | source_mashable | Analytical Deep Dive | OpenAI's Sora 2 adds tools to prevent unauthor
